id,panel_id,track_id,role,datecreated,datemodified
157,720,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
160,613,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
161,694,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
162,607,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
164,669,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
165,620,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
166,711,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
167,711,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
168,629,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
170,596,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
171,633,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
172,644,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
173,696,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
174,705,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
175,695,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
176,661,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
177,652,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
178,664,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
179,714,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
180,721,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
181,595,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
183,588,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
184,597,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
185,591,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
186,598,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
187,722,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
188,723,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
189,724,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
190,725,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
191,726,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
192,727,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
193,728,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
194,730,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
195,731,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
196,732,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
197,733,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
198,734,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
